Date,price,returns,SMA_S,SMA_L,position,strategy,creturns,cstrategy
2010-02-01,27.190000534057617,0.0023934664254479715,28.421900100708008,25.766200037002562,1,0.0023934664254479715,1.2300385024711409,1.0058185803221487
2010-02-02,27.524999618530273,0.012245390463644626,28.406600074768065,25.791275033950807,1,0.012245390463644626,1.2451934036885133,1.0182109413716252
2010-02-03,27.434999465942383,-0.003275117705065926,28.38650005340576,25.81762502670288,1,-0.003275117705065926,1.2411219196599377,1.0148816356001398
2010-02-04,26.71500015258789,-0.026594339923222174,28.346000061035156,25.843475027084352,1,-0.026594339923222174,1.2085501337171793,0.9882472599853239
2010-02-05,26.545000076293945,-0.006383802211657119,28.294500045776367,25.86887502670288,1,-0.006383802211657119,1.2008595623616303,0.9819585791455256
2010-02-08,26.325000762939453,-0.00832232190817655,28.239100074768068,25.893200035095216,1,-0.00832232190817655,1.1909070937839161,0.973820315346932
2010-02-09,27.0049991607666,0.025502915966295985,28.198100051879884,25.92125002861023,1,0.025502915966295985,1.2216692929202637,0.9989749681490578
2010-02-10,26.895000457763672,-0.004081590222284241,28.164200057983397,25.95012502670288,1,-0.004081590222284241,1.2166931017743308,0.9949058715282946
2010-02-11,27.110000610351562,0.007962273278857873,28.134400062561035,25.979975032806397,1,0.007962273278857873,1.2264194151441676,1.0028592052538357
2010-02-12,26.989999771118164,-0.004436267474796705,28.09340003967285,26.008150033950805,1,-0.004436267474796705,1.2209907410107839,0.9984201073728327
2010-02-16,27.40999984741211,0.015441486198157505,28.06200004577637,26.037575035095216,1,0.015441486198157505,1.2399909710488548,1.013956844120742
2010-02-17,27.665000915527344,0.009260204695590949,28.042600059509276,26.069725036621094,1,0.009260204695590949,1.2515268712251024,1.023389900658973
2010-02-18,27.954999923706055,0.010427962306022763,28.02680004119873,26.10157504081726,1,0.010427962306022763,1.264646030428187,1.034117608822707
2010-02-19,27.860000610351562,-0.0034040814899701914,28.005300064086914,26.1330250453949,1,-0.0034040814899701914,1.260348391191734,1.030603372978169
2010-02-22,27.690000534057617,-0.006120633789577003,27.98230007171631,26.164125051498413,1,-0.006120633789577003,1.2526578198361848,1.0243146921383708
2010-02-23,27.415000915527344,-0.00998101421875558,27.95230007171631,26.194200057983398,1,-0.00998101421875558,1.2402172125425803,1.0141418447508619
